solar da,solar ac
55.94666177,69.90408475
41.2135827,48.79980616
26.53167793,29.71910535
13.31116477,13.49904753
2.517044173,1.070273793
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.266837387,0
15.00868919,14.15846485
41.79696965,45.18178362
78.54230548,116.6335252
114.7093718,142.0415619
133.6358187,129.4219811
137.6427658,135.2536574
127.6330741,121.2370184
104.1579636,90.18226403
70.8939418,68.37762869
34.10620441,27.8973005
7.022575174,8.053371655
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.697432513,0.413780715
20.46533098,15.97880758
49.69170099,39.46707718
68.29867406,64.29392008
71.59283643,86.20090401
63.37132067,66.78025967
53.52757981,50.56166398
49.57984861,43.61585025
49.2377119,38.61977709
40.85682477,39.51094086
23.63740611,26.30139361
5.45298649,6.794484038
0,0.000731061
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.664534753,0.048981109
17.8123094,12.52308065
47.97224473,37.83242403
81.80722539,79.67325736
110.3763713,101.3821237
126.0064626,103.0847655
122.5090652,129.0367118
115.4250808,136.1886848
101.7301089,109.1050556
71.78291238,79.94594324
37.7176474,39.79824796
8.426212935,7.482412753
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.773462891,0.377227648
14.99553008,8.47811829
37.04799522,23.47437943
66.3372365,48.7120788
96.36338761,83.52595059
115.6151568,106.5426856
122.3102165,124.2548396
118.2411291,129.2903901
101.9260333,120.8663703
73.79844848,70.74334316
38.94583044,34.37815923
9.13607349,9.801339304
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.291785377,0.511742934
20.25551638,20.1151526
49.18726867,50.77586495
83.25399577,96.75377437
112.1521192,128.2413171
126.9246756,128.5688326
131.0566343,143.5321959
129.5206744,132.2665408
111.2156297,107.1099892
80.16087527,65.88690272
44.42659726,31.51020562
11.04706782,7.766795612
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.315910401,0.891163766
16.37431176,12.3425085
34.70494365,24.81295274
48.66236663,46.27764456
55.69736985,50.99518335
54.59346724,56.06948007
48.12869186,50.57336096
40.47301757,44.13709698
31.62278906,35.69406963
22.33392375,21.91063924
12.71608084,13.25633517
3.245181261,2.747328493
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.368546817,0.606049846
14.4903667,10.07768049
32.22006617,20.89738823
52.84476853,39.11251243
69.93552039,53.6394322
79.46417382,62.86469517
79.54897693,61.92308817
72.65579961,67.87612061
62.96192633,69.46617901
49.94830352,46.65852752
32.25369499,32.66601359
9.011062002,8.155720242
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.354017495,1.550581089
20.6729524,14.84858675
43.69919124,40.7654421
66.39133504,63.17027881
85.61897919,66.01410739
95.79535296,74.40596045
91.6633943,84.1553944
79.621352,62.82448679
62.84934288,53.43473502
44.41709347,46.71408818
26.37669293,23.01819716
7.941519271,5.327975002
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.445675877,3.819064409
48.54905213,45.98814427
106.523678,117.441348
157.4464863,181.9896774
189.0678132,216.4986966
194.0426856,238.1081386
190.2609053,235.0515712
180.6065094,213.7696447
159.3326246,177.7327073
116.035517,123.8812673
65.07030721,64.01099934
18.3569501,13.63429388
0,0.002924245
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.86969145,4.809652516
42.72834179,49.31301122
91.72480345,116.5209418
142.6783163,172.9925056
181.4779345,212.0882036
204.9523139,232.9702395
209.0798862,240.8013685
195.2343156,226.1801419
166.132226,191.4020921
120.1192257,135.9481657
67.35706707,65.12733
19.41772009,14.88513982
0,0.001462123
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
